Host do domu; Wolker
Tezka hodina; Wolker
Struny ve vetru; Hora
Jan Houslista; Hora
Svet ktery voni; Teige
Jarmark umeni; Teige
Podivuhodny kouzelnik; Nezval
Edison; Nezval
Zena a kapky deste; Nezval
Manon Lescaut; Nezval
Stalin; Nezval
Mesto v slzach; Seifert
Na vlnach TST; Seifert
Vejir Bozeny Nemcove; Seifert
Maminka; Seifert
Pisen o Viktorce; Seifert
Hayleiova kometa; Seifert
Vsechny krasy sveta; Seifert
Hrad smrti; Deml
Miriam; Deml
Korouhve; Zahradnicek
Sepie; Halas
Kohout plasi smrt; Halas
Stare zeny; Halas
Torzo nadeje; Halas
Nase pani Bozena Nemcova; Halas

