Pri loupani cibule; Grass
Gdanska trilogie, plechovy bubinek; Grass
Sofiina volba; Styron
Ulehni v temnotach; Styron
Viditelna temnota; Styron
Hlava XXII; Heller
Caligula; Camus
Mor; Camus
Cizinec; Camus
Hnus; Sartre
Za zavrenymi dvermi; Sartre
Zed; Sartre
Ohledni se v Hnevu; Osborne
Stastny jim; Amis
Kvileni; Ginsberg
Kadis; Ginsberg
Na ceste; Kerouac
Rimanka; Moravia
Horalka; Moravia
Gumy; Grillet
Zarlivost; Grillet
Sto roku samoty; Marquez
Popraviste; Ajmatov
Mistr a Marketka; Bulgakov
Jmeno ruze; Eco
Lolita; Nabokov
//Souostrovi Gulag; Solženicyc
Krvave jahody; Kupka
1948; Orwell
Farma zvirat; Orwell
Cekani na Godota; Beckett
//Plesata Zpevacka; Ionesco
//Fyzikove; Durrenmatt
